Description_Cluster;Count;Associated_Comment_Clusters
une;294;constatation(24)|tre(12)|peut tre(12)|de(12)|peut(11)|supprim(11)|cette(10)|cette constatation(10)|constatation peut(10)|e(7)
2;578;de(31)|constatation(30)|ouvrage(20)|de l(17)|photo(15)|dans(14)|l(14)|aucune photo(13)|photo de(12)|cette constatation(12)
fissures avec;0;
avec une;0;
ouverture jusqu;0;
2 mm;39;infiltrations(3)|traces(2)|d(2)|nombreuses(1)|et(1)|p(1)|t(1)|de(1)|calcaire(1)|nombreuses traces(1)
nombreux;5;
clats;314;de(12)|d(11)|armature(11)|constatations(10)|l(8)|de la(7)|e(7)|photos(7)|ont(7)|corrod(6)
en;4636;de(233)|d(104)|la(78)|fissures(67)|localis(66)|surface(65)|0(64)|l(62)|de l(61)|r(59)
te;3292;de(167)|d(72)|localis(66)|la(56)|de l(48)|protection(47)|surface(47)|l(46)|r(46)|ouvrage(43)
principalement;12;fissures(4)|de(3)|fissures de(3)|horizontalesi(3)|non(2)|sup(2)|0(2)|3mm(2)|et(2)|non sup(2)
droit;70;non(4)|migr(4)|non migr(3)|de(3)|contamination(3)|commence(2)|visible(2)|risque(1)|du(1)|pied(1)
de nombreux;0;
nombreux clats;0;
clats en;0;
en t;0;
t te;0;
de mur;0;
au droit;0;
droit des;0;
des joints;0;
joints ou;0;
ou des;0;
des montants;0;
de garde;0;
forte;102;de(17)|la(13)|armatures(13)|b(12)|ton(12)|corrosion(12)|b ton(12)|des(11)|le(11)|des armatures(11)
dominance;1;
horizontales;91;de(11)|fissures(9)|non(8)|sup(8)|fissures de(8)|non sup(8)|entretoise(7)|migr(6)|dans(6)|migr dans(6)
dans;482;de(31)|non(24)|fissures(20)|0(15)|sup(14)|fissures de(14)|migr(12)|3mm(12)|d(11)|non migr(10)
pied;37;d(2)|par(2)|il(2)|chauffage(2)|une(1)|partie(1)|des(1)|g(1)|ts(1)|ont(1)
5;399;de(34)|fissure(23)|sup(22)|0(22)|non(20)|non sup(20)|fissures de(18)|dans(16)|migr dans(16)|migr(15)
distance;2;
entre;223;localis(66)|de(59)|application(36)|s(34)|ragr(33)|ages(33)|ragr ages(33)|ages localis(33)|protection(30)|fection(22)
environ;95;rieures(5)|0(5)|fissures(4)|3(4)|mm(4)|0 3(4)|constatation(3)|d(3)|et(3)|3 mm(3)
30cm;32;migr(9)|dans(9)|migr dans(9)|caisson(7)|dans caisson(7)|entretoise(2)|sion(2)|dans entretoise(2)|cul(1)|e(1)
forte dominance;0;
dominance des;0;
fissures horizontales;0;
horizontales dans;0;
dans une;0;
une zone;0;
zone de;0;
treillis en;0;
en pied;0;
pied de;0;
mur ouverture;0;
2 5;0;
