Description_ngram;Count;PerMille;Associated_Comments
verticales ouverture;19;0.32;
h he;19;0.32;
bis max;19;0.32;
ca 3;19;0.32;
rtelfugen ca;19;0.32;
des fundaments;19;0.32;
5 m;19;0.32;
d ouverture;19;0.32;
dans les;19;0.32;
1 cm;19;0.32;
fissures sur;19;0.32;
mortier de;19;0.32;
parties m;19;0.32;
donc class;19;0.32;
tement de;19;0.32;
r guli;19;0.32;
es fissures;19;0.32;
et 2024;18;0.3;
toujours pas;18;0.3;
lose steinquader;18;0.3;
4 0;18;0.3;
d gel;18;0.3;
des anciennes;18;0.3;
l int;18;0.3;
ouverture des;18;0.3;
de 0;18;0.3;
bei den;18;0.3;
0 cm;18;0.3;
gel d;18;0.3;
d tanch;18;0.3;
an mehreren;18;0.3;
l entretoise;18;0.3;
trame d;18;0.3;
der ganzen;18;0.3;
der mitte;18;0.3;
non conforme;18;0.3;
gr sern;18;0.3;
ca 2;18;0.3;
des deux;18;0.3;
mitte der;18;0.3;
wahrscheinlich infolge;18;0.3;
la face;18;0.3;
l ngsriss;18;0.3;
bis 10;18;0.3;
verticales avec;18;0.3;
abplatzungen und;18;0.3;
rior e;18;0.3;
armatures fissures;18;0.3;
moos und;18;0.3;
rissbreite 0;18;0.3;
der betonoberfl;18;0.3;
pr sentes;18;0.3;
mehreren stellen;18;0.3;
fissures biaises;18;0.3;
la rag;18;0.3;
sont toujours;17;0.28;
pas visibles;17;0.28;
de retenue;17;0.28;
avec la;17;0.28;
angerostete bewehrung;17;0.28;
50 cm;17;0.28;
de calcium;17;0.28;
d fauts;17;0.28;
carbonate de;17;0.28;
probablement sup;17;0.28;
8 mm;17;0.28;
vor allem;17;0.28;
me d;17;0.28;
non visible;17;0.28;
par es;17;0.28;
mit diversen;17;0.28;
ungen gende;17;0.28;
setzungen des;17;0.28;
par afin;17;0.28;
03 05;17;0.28;
la fissure;17;0.28;
de coffrage;17;0.28;
abplatzungen an;17;0.28;
tement entre;17;0.28;
entre 2019;17;0.28;
sehr wahrscheinlich;17;0.28;
avec rag;17;0.28;
0 1;17;0.28;
efflorescences en;17;0.28;
de cul;17;0.28;
trace d;17;0.28;
1 fissure;16;0.27;
anciennes glissi;16;0.27;
abl sen;16;0.27;
str ucher;16;0.27;
feuchtigkeit aus;16;0.27;
d gradation;16;0.27;
sous oi;16;0.27;
surface fortement;16;0.27;
infolge ungen;16;0.27;
zone humide;16;0.27;
vereinzelt;16;0.27;auf eine(3)|der inspektion(2)|max rissbreite(2)|rissbreite bis(2)|erste anzeichen(2)|anzeichen mit(2)|mit verdacht(2)|verdacht auf(2)|eine aar(2)|bindestellen welche(1)|welche vor(1)|vor dem(1)|dem betonieren(1)|betonieren nicht(1)|nicht von(1)|von der(1)|der schalung(1)|schalung abgehoben(1)|abgehoben wurden(1)|die mauerentw(1)|mauerentw sserung(1)|sserung verl(1)|verl uft(1)|uft bis(1)|bis zu(1)|zu 1(1)|1 4(1)|4 m(1)|m tief(1)|tief in(1)|in der(1)|der st(1)|st tzmauer(1)|vielleicht auch(1)|auch lteren(1)|lteren datums(1)|datums zur(1)|zur zeit(1)|zeit der(1)|inspektion trocken(1)|nicht beeintr(1)|beeintr chtigend(1)|chtigend f(1)|f r(1)|r die(1)|die funktion(1)|risse mehrheitlich(1)|mehrheitlich verf(1)|verf llt(1)|diverse holz(1)|holz und(1)|und kohleeinlagen(1)|kohleeinlagen vorhanden(1)|w hrend(1)|hrend der(1)|inspektion feucht(1)|bis 1(1)|1 mm(1)|bis 2(1)|2 mm(1)|durch abklopfen(1)|abklopfen haben(1)|haben sich(1)|sich keine(1)|keine steine(1)|steine gel(1)|gel st(1)|st was(1)|was auf(1)|eine kompakte(1)|kompakte matrix(1)|matrix schliessen(1)|schliessen l(1)|l sst(1)|rissbreite 0(1)|0 1(1)|1 0(1)|0 3(1)|3 mm(1)|mm rissl(1)|rissl nge(1)|nge zwischen(1)|zwischen 50(1)|50 cm(1)|cm und(1)|und 2(1)|2 0(1)|0 m(1)
res d;16;0.27;
du tablier;16;0.27;
d efflorescence;16;0.27;
3 0;16;0.27;
teneur en;16;0.27;
unterhalb der;16;0.27;
localement sup;16;0.27;
ca 5;16;0.27;
les deux;16;0.27;
modification de;16;0.27;
haute teneur;16;0.27;
calcium haute;16;0.27;
l st;16;0.27;
surface d;16;0.27;
chlorure en;16;0.27;
45 proximit;16;0.27;
3mm longueur;16;0.27;
en chlorure;16;0.27;
fissure horizontale;16;0.27;
von moos;16;0.27;
j lors;16;0.27;
abplatzungen aufgrund;16;0.27;
efflorescences et;16;0.27;
et localement;16;0.27;
ca alle;16;0.27;
aufgrund geringer;16;0.27;
armature corrod;16;0.27;
n ralis;15;0.25;
et efflorescence;15;0.25;
calcaire et;15;0.25;
inf 0;15;0.25;
avec clat;15;0.25;
avec efflorescences;15;0.25;
partie inf;15;0.25;
seite gondo;15;0.25;
plac e;15;0.25;
et les;15;0.25;
verticales et;15;0.25;
vereinzelt auch;15;0.25;
e avec;15;0.25;
unter der;15;0.25;
mise en;15;0.25;
bewehrung aufgrund;15;0.25;
0 8;15;0.25;
instandsetzung 2022;15;0.25;
schwinden bis;15;0.25;
m tallique;15;0.25;
d tachent;15;0.25;
la glissi;15;0.25;
diverse anzeichen;15;0.25;
inspection supprimer;15;0.25;
sur une;15;0.25;
environ 1m;15;0.25;
ber die;15;0.25;
ts et;15;0.25;
in geringem;15;0.25;
bewehrung infolge;15;0.25;
d fectueux;15;0.25;
schlagl cher;15;0.25;
par s;15;0.25;
netzrisse bis;15;0.25;
der fugen;15;0.25;
20 x;15;0.25;
2024 non;15;0.25;
mit starken;15;0.25;
fissures en;15;0.25;
la zone;15;0.25;
r es;15;0.25;
diverse abplatzungen;15;0.25;
es comme;15;0.25;
fr hem;15;0.25;
rieur du;15;0.25;
korrosion an;14;0.23;
diverse risse;14;0.23;
e l;14;0.23;
d la;14;0.23;
e et;14;0.23;
sup 200cm;14;0.23;
la conduite;14;0.23;
e pas;14;0.23;
bis 2;14;0.23;
nge ca;14;0.23;
es en;14;0.23;
temp rature;14;0.23;
un d;14;0.23;
hauteur du;14;0.23;
risse teilweise;14;0.23;
ouverture localement;14;0.23;
longueur de;14;0.23;
ser und;14;0.23;
riss in;14;0.23;
et 45;14;0.23;
es ici;14;0.23;
sous face;14;0.23;
nicht mehr;14;0.23;
und l;14;0.23;
den rissen;14;0.23;
fl che;14;0.23;
probablement inf;14;0.23;
d enrobage;14;0.23;
alis e;14;0.23;
st tzen;14;0.23;
a supprimer;14;0.23;
it du;14;0.23;
couche de;14;0.23;
schwinden mit;14;0.23;
une intervention;14;0.23;
der wand;14;0.23;
res fissures;14;0.23;
d formation;14;0.23;
ca 50;14;0.23;
st sich;14;0.23;
sehr wenige;14;0.23;
abplatzung infolge;14;0.23;
ton au;14;0.23;
ton et;14;0.23;
type fa;13;0.22;
auf dem;13;0.22;
diverse l;13;0.22;
40 x;13;0.22;
la longueur;13;0.22;
rement corrod;13;0.22;
mauerentw sserung;13;0.22;
d form;13;0.22;
5 0;13;0.22;
conservation a;13;0.22;
enrobage d;13;0.22;
ab ok;13;0.22;
aux extr;13;0.22;
gr ssere;13;0.22;
d armature;13;0.22;
2 cm;13;0.22;
l appui;13;0.22;
trame inf;13;0.22;
trame environ;13;0.22;
clats et;13;0.22;
rioration de;13;0.22;
choc de;13;0.22;
de temp;13;0.22;
entw sserung;13;0.22;
aufgrund undichter;13;0.22;
dans un;13;0.22;
en place;13;0.22;
corrosion d;13;0.22;
3mm dont;13;0.22;
conservation d;13;0.22;
ton de;13;0.22;
rioration du;13;0.22;
in m;13;0.22;
risse auf;13;0.22;
0 6mm;13;0.22;
armature et;13;0.22;
fissures du;13;0.22;
variation de;13;0.22;
der ecke;13;0.22;
retrait variation;13;0.22;
ep martigny;13;0.22;
talliques corrod;13;0.22;
d objet;13;0.22;
sserungsr hrchen;13;0.22;
pr sent;13;0.22;
avec du;13;0.22;
korrodierter bewehrung;13;0.22;
geringem ausmass;13;0.22;
mm vereinzelt;13;0.22;
40 cm;13;0.22;
de section;13;0.22;
inspektion trocken;13;0.22;
ca 4;13;0.22;
de type;13;0.22;
deux entretoises;12;0.2;
de niveau;12;0.2;
les armatures;12;0.2;
fortement corrod;12;0.2;
ponctuellement avec;12;0.2;
ponctuellement sup;12;0.2;
constat d;12;0.2;
cadre de;12;0.2;
fa encage;12;0.2;
e non;12;0.2;
auf seite;12;0.2;
avec ouverture;12;0.2;
ragr ages;12;0.2;
conforme aux;12;0.2;
remise en;12;0.2;
donc plac;12;0.2;
eaux de;12;0.2;
de stalactites;12;0.2;
environ 0;12;0.2;
re d;12;0.2;
important d;12;0.2;
tiges m;12;0.2;
avec infiltrations;12;0.2;
en tat;12;0.2;
l angle;12;0.2;
der sohle;12;0.2;
ext rieur;12;0.2;
sous le;12;0.2;
