Cluster_Representative;Count;Variations;PerMille
stk bis;6499;stk bis (2916) | stk bis 300 (261) | stk klein (53) | stk bis 700 (62) | stk bis 100 (557) | stk bis 500 (182) | stk bis 75 (67) | stk bis 400 (245) | stk bis 900 (28) | stk gr (48) | ft best (43) | cm2 bis (29) | stk bis 200 (334) | spr des (12) | st tze (45) | stk mit (260) | stk bis 350 (19) | stk ca (49) | nge bis (68) | stk nge (15) | stk block (34) | stk bis 600 (112) | stk bis m2 (53) | je stk bis (70) | stk bis 800 (67) | st ck (12) | stk bis 150 (151) | st cke (7) | stk riss (10) | je bis (23) | stk evtl (15) | risse bis (91) | ca bis (21) | ist ein (7) | 10 stk bis (13) | stk bis 50 (53) | stk teils (31) | ist in (7) | stk risse (12) | 10 bis (9) | sse bis (67) | oben bis (9) | stk bis mm (9) | stk bis ca (26) | stk in (9) | stk bis 450 (12) | von bis (18) | cm bis (11) | stk alte (7) | ngen bis (15) | 1stk bis (23) | chig bis (11) | stk pro (15) | st be (10) | stk bis 250 (54) | st teils (19) | 50 bis (9) | ist die (14) | stk je (8) | riss bis (21) | st sich (17) | stk bis 750 (8) | lokal bis (8) | stk gekr (8);19.36
bis 300;5476;bis 300 (318) | bis 300 cm2 (309) | bis cm (63) | bis 700 (69) | bis 100 (730) | bis 2cm (21) | bis 500 (222) | bis 75 (82) | bis 400 (298) | bis 25 (29) | bis 900 (34) | bis ca (538) | bis 35 (8) | bis 35 mm (7) | cm2 100 (8) | bis 250 (62) | bis 200 (413) | bis 200cm2 (42) | bis 1000 (141) | bis 1500 (46) | bis 1200 (60) | bis mm (317) | bis 1100 (13) | bis 350 (19) | bis 70 (9) | bis 500cm2 (19) | bis 600 (131) | bis m2 (91) | bis 100cm2 (31) | bis 800 (83) | bis 1800 (18) | bis 150 (181) | bis 3mm (26) | bis 15 (32) | bis 2000 (74) | ca 30 (26) | bis 3000 (24) | bis stk (43) | bis 50cm2 (23) | bis 300cm2 (21) | bis max (14) | bis 2400 (13) | bis 20 (37) | bis 1600 (41) | bis 30 (34) | bis 20 mm (31) | bis 50 (102) | bis 5cm (22) | bis 30 mm (22) | bis 10 (44) | bis 100 cm (17) | bis 10 mm (26) | bis 450 (15) | ca 00 (8) | ca 200 (9) | bis 50 mm (8) | bis ber (7) | bis 1m2 (14) | bis 2500 (21) | ca 300 (11) | bis 5m2 (8) | bis 10 cm (11) | bis 4000 (9) | bis 400cm2 (14) | bis 1cm (17) | bis 20mm (7) | bis 12 (7) | bis 4500 (7) | bis 1300 (9) | bis in (8) | bis uk (10) | bes bei (8) | bis 1400 (14) | bis 40 (14) | bis zu 10 (7) | bis 40 mm (9) | bis ca 40 (14) | ca 100 (7) | bis 300 cm (8) | bis auf (21) | bis 750 (9) | bis 5mm (14) | bis 2mm (7) | bis 10cm (9) | ca 600 (9) | bis 60 (10) | bis 80 (11) | bis 600cm2 (7) | bis 0mm (7) | bis 1mm (7);16.32
300 cm2;4282;300 cm2 (321) | 300 cm2 mit (146) | 700 cm2 (70) | 100 cm2 (714) | 500 cm2 (226) | 75 cm2 (81) | 400 cm2 (307) | 100 cm2 zw (16) | 25 cm2 (13) | 900 cm2 (35) | 80 cm (16) | ca cm (80) | 35 mm (10) | nge cm (18) | sse cm2 (60) | 200 cm2 (415) | 1000 cm2 (141) | 1500 cm2 (49) | 1200 cm2 (64) | 1100 cm2 (13) | 350 cm2 (19) | 70 cm (12) | 600 cm2 (136) | 200 cm2 zw (14) | 25 cm (9) | 30 cm (26) | 800 cm2 (82) | ca 2m2 (13) | 1800 cm2 (18) | 150 cm2 (179) | ca m2 (119) | 10 mm (42) | 2000 cm2 (75) | 3000 cm2 (26) | 2400 cm2 (13) | 250 cm2 (60) | 20 cm (34) | 1600 cm2 (42) | 20 mm (47) | 50 cm2 (91) | je m2 (11) | 30 mm (32) | 300 cm2 zw (9) | 500 cm2 zw (10) | 100 cm (27) | 40 mm (18) | 450 cm2 (15) | 15 cm (12) | ca 200 cm2 (9) | ca 5m2 (10) | 50 mm (17) | 2500 cm2 (22) | ca 300 cm2 (10) | 10 cm (32) | 4000 cm2 (9) | 50 cm (24) | 25 m2 (20) | ca 1m2 (7) | 4500 cm2 (7) | 1300 cm2 (9) | ca 300cm2 (10) | 1400 cm2 (14) | 40 cm (21) | 200 cm (10) | 300 cm (11) | 60 cm (12) | 750 cm2 (9) | von cm (8) | zu cm (17) | ca 600 cm2 (8);12.76
cm2 mit;4809;cm2 mit (1835) | che mit (388) | 700 cm2 mit (54) | 100 cm2 mit (354) | 500 cm2 mit (145) | 400 cm2 mit (183) | cm2 zw (120) | ca mm (265) | 1000cm2 mit (24) | 350 cm2 mit (11) | 200 cm2 mit (204) | 2000cm2 mit (10) | 900 cm2 mit (23) | 600 cm2 mit (87) | m2 mit (98) | bis m2 mit (65) | 800 cm2 mit (65) | 150 cm2 mit (75) | cm2 teils (57) | cm2 evtl (14) | mm mit (46) | be mit (96) | 300cm2 mit (16) | und mit (21) | fuge mit (26) | 75 cm2 mit (33) | fb mit (8) | chig mit (84) | cm tief (9) | 50 cm2 mit (37) | mm in (15) | 12 mm (10) | 1m2 mit (10) | ca m2 mit (19) | 200cm2 mit (27) | riss mit (24) | 5m2 mit (8) | chen mit (14) | af mit (22) | 250 cm2 mit (27) | 500cm2 mit (12) | cm mit (19) | 400cm2 mit (9) | 3mm et (50) | 450 cm2 mit (9) | mm et (12) | 100cm2 mit (19) | 150cm2 mit (9) | cm und (14) | rtel mit (7) | 50cm2 mit (13) | llt mit (7);14.33
mit korrodierter;4469;mit korrodierter (2326) | cm2 mit korrodierter (1777) | stk korrodierter (101) | m2 mit korrodierter (72) | stk korrodierte (176) | 1m2 mit korrodierter (10) | 5m2 mit korrodierter (7);13.32
korrodierter bewehrung;5028;korrodierter bewehrung (2357) | mit korrodierter bewehrung (2311) | korrodierter bewehrung ev (13) | korrodierter bewehrung bei (7) | korrodierte bewehrung (28) | korrodierte bewehrungsst (233) | korrodierter bewehrung mit (31) | korrodierter bewehrung ca (7) | korrodierter bewehrung zw (10) | korrodierter bewehrung bis (9) | korrodierter bewehrung und (8) | korrodierter bewehrung von (14);14.98
stk bis 300 cm2;2905;stk bis 300 cm2 (260) | stk bis 300 cm2 mit (131) | stk bis 700 cm2 (62) | stk bis 100 cm2 (547) | stk bis 500 cm2 (182) | stk bis 75 cm2 (67) | stk bis 400 cm2 (243) | stk bis 100 cm2 zw (13) | stk bis 900 cm2 (28) | stk bis 200 cm2 (333) | stk bis 1500 cm2 (37) | stk bis 1200 cm2 (46) | stk bis 1000cm2 (16) | stk bis 1100 cm2 (11) | stk bis 350 cm2 (19) | stk bis 600 cm2 (111) | stk bis 200 cm2 zw (12) | stk bis 100cm2 (11) | stk bis 800 cm2 (66) | stk bis 1000 cm2 (108) | stk bis 1800 cm2 (16) | stk bis 150 cm2 (151) | stk bis 2000 cm2 (57) | stk bis 3000 (18) | stk bis 3000 cm2 (18) | stk bis 50cm2 (8) | stk bis 300cm2 (8) | stk bis 2400 cm2 (10) | stk bis 75cm2 (7) | stk bis 1600 cm2 (33) | stk bis 50 cm2 (53) | stk bis 150cm2 (8) | stk bis 300 cm2 zw (7) | stk bis 500 cm2 zw (10) | je stk bis 100 cm2 (12) | stk bis 450 cm2 (12) | stk bis 2500 cm2 (15) | stk bis 200cm2 (18) | stk bis 400cm2 (11) | stk bis 250 cm2 (54) | stk bis 500cm2 (9) | stk bis 4500 cm2 (7) | stk bis 1300 cm2 (7) | je stk bis 200 cm2 (10) | stk bis 1400 cm2 (13) | stk bis 4000 cm2 (7) | stk bis 100 cm (8) | stk bis 750 cm2 (8) | sse bis 200cm2 (7);8.66
bis 300 cm2 mit;1936;bis 300 cm2 mit (144) | bis 700 cm2 mit (54) | bis 100 cm2 mit (353) | bis 500 cm2 mit (143) | bis 400 cm2 mit (183) | bis 100 cm2 zw (15) | bis 1500 cm2 mit (32) | bis 1200 cm2 mit (47) | bis 1000cm2 mit (22) | bis 350 cm2 mit (11) | bis 200 cm2 mit (202) | bis 2000cm2 mit (9) | bis 900 cm2 mit (23) | bis 600 cm2 mit (85) | bis 200 cm2 zw (14) | bis 800 cm2 mit (65) | bis 1000 cm2 mit (84) | bis 150 cm2 mit (75) | bis 300 cm2 teils (8) | bis 2000 cm2 mit (54) | bis 3000 cm2 mit (22) | bis 300cm2 mit (12) | bis 2400 cm2 mit (8) | bis 1600 cm2 mit (32) | bis 75 cm2 mit (33) | bis 300 cm2 zw (9) | bis 500 cm2 zw (10) | bis 50 cm2 mit (36) | bis 2500 cm2 mit (17) | bis 200cm2 mit (19) | bis 250 cm2 mit (27) | bis 500cm2 mit (10) | bis 400cm2 mit (9) | bis 450 cm2 mit (9) | bis 1400 cm2 mit (9) | bis 100cm2 mit (15) | bis 1100 cm2 mit (8) | bis 1800 cm2 mit (11) | bis 150cm2 mit (7) | bis 50cm2 mit (10);5.77
300 cm2 mit korrodierter;2095;300 cm2 mit korrodierter (144) | bis 300 cm2 mit korrodierter (142) | 700 cm2 mit korrodierter (52) | 100 cm2 mit korrodierter (345) | 500 cm2 mit korrodierter (136) | 400 cm2 mit korrodierter (178) | 1200 cm2 mit korrodierter (46) | 1000cm2 mit korrodierter (18) | 350 cm2 mit korrodierter (11) | 200 cm2 mit korrodierter (198) | 2000cm2 mit korrodierter (10) | 900 cm2 mit korrodierter (23) | 600 cm2 mit korrodierter (81) | bis m2 mit korrodierter (63) | 800 cm2 mit korrodierter (64) | 1000 cm2 mit korrodierter (79) | 150 cm2 mit korrodierter (74) | 2000 cm2 mit korrodierter (53) | 3000 cm2 mit korrodierter (21) | bis 3000 cm2 mit korrodierter (21) | 300cm2 mit korrodierter (15) | bis 300cm2 mit korrodierter (11) | 2400 cm2 mit korrodierter (8) | 75 cm2 mit korrodierter (32) | 50 cm2 mit korrodierter (36) | 1500 cm2 mit korrodierter (29) | 2500 cm2 mit korrodierter (17) | 200cm2 mit korrodierter (26) | bis 5m2 mit korrodierter (7) | 250 cm2 mit korrodierter (26) | 500cm2 mit korrodierter (12) | 400cm2 mit korrodierter (9) | 450 cm2 mit korrodierter (9) | 1400 cm2 mit korrodierter (9) | 100cm2 mit korrodierter (19) | 1600 cm2 mit korrodierter (31) | 1100 cm2 mit korrodierter (8) | 1800 cm2 mit korrodierter (10) | 150cm2 mit korrodierter (9) | 50cm2 mit korrodierter (13);6.24
cm2 mit korrodierter bewehrung;3948;cm2 mit korrodierter bewehrung (1769) | 300 cm2 mit korrodierter bewehrung (142) | 700 cm2 mit korrodierter bewehrung (52) | 100 cm2 mit korrodierter bewehrung (345) | 500 cm2 mit korrodierter bewehrung (135) | 400 cm2 mit korrodierter bewehrung (178) | cm2 mit korrodierter bewehrung teils (34) | 1200 cm2 mit korrodierter bewehrung (46) | 1000cm2 mit korrodierter bewehrung (17) | 350 cm2 mit korrodierter bewehrung (11) | 200 cm2 mit korrodierter bewehrung (198) | 2000cm2 mit korrodierter bewehrung (10) | 900 cm2 mit korrodierter bewehrung (23) | 600 cm2 mit korrodierter bewehrung (81) | m2 mit korrodierter bewehrung (72) | bis m2 mit korrodierter bewehrung (63) | 800 cm2 mit korrodierter bewehrung (64) | 1000 cm2 mit korrodierter bewehrung (79) | 150 cm2 mit korrodierter bewehrung (74) | cm2 teils mit korrodierter bewehrung (38) | 2000 cm2 mit korrodierter bewehrung (53) | 3000 cm2 mit korrodierter bewehrung (21) | 300cm2 mit korrodierter bewehrung (15) | 2400 cm2 mit korrodierter bewehrung (8) | 75 cm2 mit korrodierter bewehrung (29) | 50 cm2 mit korrodierter bewehrung (35) | chig mit korrodierter bewehrung (61) | 1m2 mit korrodierter bewehrung (10) | 1500 cm2 mit korrodierter bewehrung (29) | cm2 mit korrodierter bewehrung zw (8) | 2500 cm2 mit korrodierter bewehrung (17) | 200cm2 mit korrodierter bewehrung (26) | 5m2 mit korrodierter bewehrung (7) | bis 5m2 mit korrodierter bewehrung (7) | cm2 mit korrodierter bewehrung mit (17) | 250 cm2 mit korrodierter bewehrung (25) | 500cm2 mit korrodierter bewehrung (11) | 400cm2 mit korrodierter bewehrung (9) | cm2 mit korrodierter bewehrung von (11) | 450 cm2 mit korrodierter bewehrung (9) | 1400 cm2 mit korrodierter bewehrung (9) | 100cm2 mit korrodierter bewehrung (19) | 1600 cm2 mit korrodierter bewehrung (31) | 1100 cm2 mit korrodierter bewehrung (8) | 1800 cm2 mit korrodierter bewehrung (10) | 150cm2 mit korrodierter bewehrung (9) | 50cm2 mit korrodierter bewehrung (13) | bis 50cm2 mit korrodierter bewehrung (10);11.76
