Cluster_Representative;Count;Variations;PerMille
verticales ouverture;21;verticales ouverture (12) | verticales ouverture max (9);0.06
fissures verticales ouverture;21;fissures verticales ouverture (12) | fissures verticales ouverture max (9);0.06
surface ouverture;14;surface ouverture (7) | de surface ouverture (7);0.04
rieure 3mm maillage;29;rieure 3mm maillage (10) | inf rieure 3mm maillage (10) | rieure 3mm maillage irr (9);0.09
fissuration de surface ouverture;7;fissuration de surface ouverture (7);0.02
inf rieure 3mm maillage irr;9;inf rieure 3mm maillage irr (9);0.03
rieure 3mm maillage irr gulier;9;rieure 3mm maillage irr gulier (9);0.03
bewehrung vermutlich;10;bewehrung vermutlich (10);0.03
korrodierter bewehrung vermutlich;18;korrodierter bewehrung vermutlich (9) | mit korrodierter bewehrung vermutlich (9);0.05
cm2 mit korrodierter bewehrung vermutlich;7;cm2 mit korrodierter bewehrung vermutlich (7);0.02
risse in den mauerfugen;32;risse in den mauerfugen (25) | risse in den mauerfugen an (7);0.1
mauerentw sserung;23;mauerentw sserung (11) | mauerentw sserungen (12);0.07
bereich der st tzmauer;7;bereich der st tzmauer (7);0.02
non mesurable;32;non mesurable (16) | max non mesurable (16);0.1
ouverture max non mesurable;25;ouverture max non mesurable (16) | ouverture max non mesurable estim (9);0.07
re avec;10;re avec (10);0.03
guli re avec;20;guli re avec (10) | irr guli re avec (10);0.06
trame irr guli re avec;10;trame irr guli re avec (10);0.03
ponctuellement sup;13;ponctuellement sup (13);0.04
mehrere kleine distanzhalter;18;mehrere kleine distanzhalter (10) | mehrere kleine abstandhalter (8);0.05
cm2 kalktreiber;7;cm2 kalktreiber (7);0.02
rippen mechanische;8;rippen mechanische (8);0.02
rippen mechanische besch;8;rippen mechanische besch (8);0.02
flanken bis ca;38;flanken bis ca (10) | der flanken bis ca (10) | flanken bis ca cm (9) | flanken bis cm (9);0.11
sung der flanken bis ca;19;sung der flanken bis ca (10) | sung der flanken bis cm (9);0.06
der flanken bis ca cm;18;der flanken bis ca cm (9) | der flanken bis cm (9);0.05
korrodierte schrauben;12;korrodierte schrauben (12);0.04
in sanierung;8;in sanierung (8);0.02
tiefe bis;28;tiefe bis (9) | breite bis (19);0.08
letzten insp;24;letzten insp (12) | der letzten insp (12);0.07
nach der letzten insp;11;nach der letzten insp (11);0.03
wurde nach der letzten insp;9;wurde nach der letzten insp (9);0.03
de largeur vraisemblablement;7;de largeur vraisemblablement (7);0.02
glicherweise von;9;glicherweise von (9);0.03
pflugsch den;8;pflugsch den (8);0.02
bewehrung mit abplatzungen;7;bewehrung mit abplatzungen (7);0.02
abplatzungen bis 100 cm2 mit;9;abplatzungen bis 100 cm2 mit (9);0.03
zwischen den;23;zwischen den (23);0.07
mit rostflecken undichter;7;mit rostflecken undichter (7);0.02
de la bordure;15;de la bordure (15);0.04
avec ts de carbonate;8;avec ts de carbonate (8);0.02
der stirnseite;30;der stirnseite (13) | der stirnseite der (7) | der nordseite (10);0.09
stirnseite der;7;stirnseite der (7);0.02
stk fehlende;14;stk fehlende (7) | oder fehlende (7);0.04
le ton clat;10;le ton clat (10);0.03
ton clat plusieurs;10;ton clat plusieurs (10);0.03
plusieurs endroits en;10;plusieurs endroits en (10);0.03
en raison de;10;en raison de (10);0.03
raison de la;10;raison de la (10);0.03
la forte corrosion;10;la forte corrosion (10);0.03
forte corrosion des;10;forte corrosion des (10);0.03
corrosion des armatures;10;corrosion des armatures (10);0.03
ton clat plusieurs endroits;20;ton clat plusieurs endroits (10) | ton clat plusieurs endroits en (10);0.06
clat plusieurs endroits en;10;clat plusieurs endroits en (10);0.03
endroits en raison de;10;endroits en raison de (10);0.03
clat plusieurs endroits en raison;10;clat plusieurs endroits en raison (10);0.03
plusieurs endroits en raison de;10;plusieurs endroits en raison de (10);0.03
en raison de la forte;10;en raison de la forte (10);0.03
de la forte corrosion des;10;de la forte corrosion des (10);0.03
la forte corrosion des armatures;10;la forte corrosion des armatures (10);0.03
lose rtelfugen;30;lose rtelfugen (23) | lose rtelfugen an (7);0.09
rtelfugen an;33;rtelfugen an (11) | rtelfugen der (14) | mauerfugen an (8);0.1
in den rtelfugen;24;in den rtelfugen (16) | in den rtelfugen der (8);0.07
den rtelfugen der;18;den rtelfugen der (11) | den fugen der (7);0.05
rtelfugen der mauer;36;rtelfugen der mauer (9) | den rtelfugen der mauer (8) | stellen der mauer (12) | fugen der mauer (7);0.11
risse in den rtelfugen der;8;risse in den rtelfugen der (8);0.02
des bauwerkes;10;des bauwerkes (10);0.03
das ringnetz;9;das ringnetz (9);0.03
welche das;7;welche das (7);0.02
das sekund;7;das sekund (7);0.02
sekund rgeflecht;21;sekund rgeflecht (14) | das sekund rgeflecht (7);0.06
ist annehmbar;7;ist annehmbar (7);0.02
entlang des netzes;8;entlang des netzes (8);0.02
toute la hauteur;46;toute la hauteur (23) | sur toute la hauteur (23);0.14
vertikale zwangsrisse;9;vertikale zwangsrisse (9);0.03
in regelm;11;in regelm (11);0.03
ssigen abst;11;ssigen abst (11);0.03
regelm ssigen abst;22;regelm ssigen abst (11) | in regelm ssigen abst (11);0.07
ssigen abst nden;11;ssigen abst nden (11);0.03
regelm ssigen abst nden;22;regelm ssigen abst nden (11) | in regelm ssigen abst nden (11);0.07
und rissl nge bis zu;30;und rissl nge bis zu (22) | und rissl ngen bis zu (8);0.09
angerostet und;17;angerostet und (10) | abgerissen und (7);0.05
sehr leichte;9;sehr leichte (9);0.03
ohne querschnittsverlust;18;ohne querschnittsverlust (10) | ohne querschnittsverlust die (8);0.05
querschnittsverlust die;9;querschnittsverlust die (9);0.03
sehr leichte korrosion;16;sehr leichte korrosion (9) | sehr leichte korrosion auf (7);0.05
korrosion ohne querschnittsverlust;18;korrosion ohne querschnittsverlust (10) | korrosion ohne querschnittsverlust die (8);0.05
weisen eine;28;weisen eine (9) | und weisen eine (8) | weisen keinen (11);0.08
angerostet und weisen;8;angerostet und weisen (8);0.02
angerostet und weisen eine;8;angerostet und weisen eine (8);0.02
korrosion unproblematisch;8;korrosion unproblematisch (8);0.02
derzeitige korrosion unproblematisch;15;derzeitige korrosion unproblematisch (8) | auf derzeitige korrosion unproblematisch (7);0.04
gebrauchstauglichkeit des;33;gebrauchstauglichkeit des (20) | die gebrauchstauglichkeit des (13);0.1
gebrauchstauglichkeit des netzes;27;gebrauchstauglichkeit des netzes (11) | die gebrauchstauglichkeit des netzes (9) | gebrauchstauglichkeit des netzes nicht (7);0.08
unterhalb der;18;unterhalb der (18);0.05
mauerkrone rissbreite;54;mauerkrone rissbreite (20) | der mauerkrone rissbreite (19) | mauerkrone rissbreite bis (15);0.16
unterhalb der mauerkrone;9;unterhalb der mauerkrone (9);0.03
ches de;8;ches de (8);0.02
de rouilles;7;de rouilles (7);0.02
und fussplatten;7;und fussplatten (7);0.02
starke absandung;14;starke absandung (7) | starke absandung der (7);0.04
starke absandung der betonoberfl;14;starke absandung der betonoberfl (7) | starke absandung der betonoberfl che (7);0.04
und schrauben;13;und schrauben (13);0.04
beginnend oder schwindrisse;12;beginnend oder schwindrisse (12);0.04
auf der nordseite;16;auf der nordseite (9) | auf der westseite (7);0.05
enrobage armature;10;enrobage armature (10);0.03
armature insuffisant;8;armature insuffisant (8);0.02
enrobage armature insuffisant;8;enrobage armature insuffisant (8);0.02
rohre zu kurz;7;rohre zu kurz (7);0.02
einfluss auf;28;einfluss auf (16) | einfluss auf die (12);0.08
die gebrauchstauglichkeit;21;die gebrauchstauglichkeit (14) | bzw die gebrauchstauglichkeit (7);0.06
ausgef hrt;8;ausgef hrt (8);0.02
keinen einfluss;29;keinen einfluss (12) | hat keinen einfluss (7) | keinen einfluss auf (10);0.09
hat keinen einfluss auf;14;hat keinen einfluss auf (7) | hat keinen einfluss auf die (7);0.04
keinen einfluss auf die;9;keinen einfluss auf die (9);0.03
korrosionsschutz verzinkung;16;korrosionsschutz verzinkung (8) | korrosionsschutz verzinkung auf (8);0.05
derzeitige korrosion ohne querschnittsverlust;8;derzeitige korrosion ohne querschnittsverlust (8);0.02
ca mm breite mit;7;ca mm breite mit (7);0.02
beeintr chtigung;16;beeintr chtigung (7) | beeintr chtigen (9);0.05
block schwindrisse;7;block schwindrisse (7);0.02
der mauerkrone rissbreite bis;31;der mauerkrone rissbreite bis (14) | der mauerkrone rissbreite bis mm (10) | der mauer rissbreite bis (7);0.09
mauerkrone rissbreite bis mm;17;mauerkrone rissbreite bis mm (10) | mauerkrone rissbreite bis mm und (7);0.05
querrisse auf der mauerkrone;29;querrisse auf der mauerkrone (22) | risse auf der mauerkrone (7);0.09
auf der mauerkrone rissbreite;8;auf der mauerkrone rissbreite (8);0.02
gerissen oder keine;8;gerissen oder keine (8);0.02
oder keine vorhanden;8;oder keine vorhanden (8);0.02
fuge gerissen oder keine;8;fuge gerissen oder keine (8);0.02
gerissen oder keine vorhanden;16;gerissen oder keine vorhanden (8) | fuge gerissen oder keine vorhanden (8);0.05
vraisemblablement inf;8;vraisemblablement inf (8);0.02
br ckenplatte;22;br ckenplatte (14) | der br ckenplatte (8);0.07
von alten ls;12;von alten ls (12);0.04
alten ls pfosten;24;alten ls pfosten (12) | von alten ls pfosten (12);0.07
verf llung von alten ls;11;verf llung von alten ls (11);0.03
llung von alten ls pfosten;11;llung von alten ls pfosten (11);0.03
und ausbr;21;und ausbr (8) | und abgel (13);0.06
leichte schwindrisse;9;leichte schwindrisse (9);0.03
blasen in;7;blasen in (7);0.02
stark gerostete;7;stark gerostete (7);0.02
frostsch den;8;frostsch den (8);0.02
fugen mit bewuchs;27;fugen mit bewuchs (7) | flanken mit bewuchs (20);0.08
beschichtung mechanische;15;beschichtung mechanische (8) | der beschichtung mechanische (7);0.04
in den fugen der;7;in den fugen der (7);0.02
teils ausgebrochen;8;teils ausgebrochen (8);0.02
100 cm2 infolge;29;100 cm2 infolge (11) | bis 100 cm2 infolge (11) | 300 cm2 infolge (7);0.09
100 cm2 infolge holzeinlage;14;100 cm2 infolge holzeinlage (7) | bis 100 cm2 infolge holzeinlage (7);0.04
stk bis 100 cm2 infolge;11;stk bis 100 cm2 infolge (11);0.03
fissures inf rieures mm;21;fissures inf rieures mm (21);0.06
mur de cul;8;mur de cul (8);0.02
zahlreiche schwind;7;zahlreiche schwind (7);0.02
schwind fr;7;schwind fr (7);0.02
instandsetzung teils;22;instandsetzung teils (8) | der instandsetzung teils (7) | instandsetzung teils mit (7);0.07
schwind fr hschwindrisse;7;schwind fr hschwindrisse (7);0.02
von harbeiten;7;von harbeiten (7);0.02
bei pfostenf llungen;15;bei pfostenf llungen (7) | um pfostenf llungen (8);0.04
oder frostabplatzung;12;oder frostabplatzung (12);0.04
zw ngung oder;27;zw ngung oder (14) | cm2 zw ngung oder (13);0.08
ngung oder frostabplatzung;24;ngung oder frostabplatzung (12) | zw ngung oder frostabplatzung (12);0.07
cm2 zw ngung oder frostabplatzung;12;cm2 zw ngung oder frostabplatzung (12);0.04
leicht moos;10;leicht moos (10);0.03
zum zeitpunkt;20;zum zeitpunkt (10) | zum zeitpunkt der (10);0.06
zeitpunkt der;10;zeitpunkt der (10);0.03
zeitpunkt der inspektion;20;zeitpunkt der inspektion (10) | zum zeitpunkt der inspektion (10);0.06
zeitpunkt der inspektion trocken;20;zeitpunkt der inspektion trocken (10) | zum zeitpunkt der inspektion trocken (10);0.06
ca mm rissl;25;ca mm rissl (9) | bis ca mm rissl (8) | ca mm rissl nge (8);0.07
bis ca mm rissl nge;7;bis ca mm rissl nge (7);0.02
an diversen;22;an diversen (22);0.07
an rippen;7;an rippen (7);0.02
stk bis 150 cm2 zw;7;stk bis 150 cm2 zw (7);0.02
von steinen;19;von steinen (12) | von steinen und (7);0.06
ablagerung von steinen;11;ablagerung von steinen (11);0.03
einer rissbreite;15;einer rissbreite (8) | mit einer rissbreite (7);0.04
bis zu mm und rissl;21;bis zu mm und rissl (21);0.06
je stk korrodierter;9;je stk korrodierter (9);0.03
leichte abplatzungen;8;leichte abplatzungen (8);0.02
mehrere kleine mechanische;10;mehrere kleine mechanische (10);0.03
mehrere kleine mechanische besch;7;mehrere kleine mechanische besch (7);0.02
mit rostflecken teils;17;mit rostflecken teils (10) | mit rostflecken teils mit (7);0.05
infolge ungen;12;infolge ungen (12);0.04
infolge ungen gender;10;infolge ungen gender (10);0.03
en partie;19;en partie (12) | une partie (7);0.06
zahlreiche abl sungen;14;zahlreiche abl sungen (7) | zahlreiche abl sungen der (7);0.04
abl sungen der beschichtung;17;abl sungen der beschichtung (17);0.05
digung teils;8;digung teils (8);0.02
mechanische besch digung teils;7;mechanische besch digung teils (7);0.02
moos und gras;13;moos und gras (13);0.04
stk grossfl chig mit;11;stk grossfl chig mit (11);0.03
fehlender korrosionsschutz;21;fehlender korrosionsschutz (21);0.06
non constat;28;non constat (28);0.08
schwindrisse pro block;74;schwindrisse pro block (41) | stk schwindrisse pro block (33);0.22
pro block teils;18;pro block teils (18);0.05
stk schwindrisse pro block teils;11;stk schwindrisse pro block teils (11);0.03
schwindrisse pro block teils mit;12;schwindrisse pro block teils mit (12);0.04
cm2 evtl zw;8;cm2 evtl zw (8);0.02
der mauer rissbreite;9;der mauer rissbreite (9);0.03
mauer rissbreite bis;7;mauer rissbreite bis (7);0.02
mitte der mauer rissbreite;14;mitte der mauer rissbreite (7) | der mitte der mauer rissbreite (7);0.04
abgeplatzt oder;13;abgeplatzt oder (13);0.04
seite brig;27;seite brig (19) | der seite brig (8);0.08
bereich von ca;8;bereich von ca (8);0.02
gesamte he;25;gesamte he (16) | gesamte nge (9);0.07
diverse kalkausscheidungen;7;diverse kalkausscheidungen (7);0.02
der flanken mit bewuchs;34;der flanken mit bewuchs (17) | sung der flanken mit bewuchs (17);0.1
syst me de;9;syst me de (9);0.03
vorhanden abl sung;7;vorhanden abl sung (7);0.02
befund in;8;befund in (8);0.02
eine verschiebung;7;eine verschiebung (7);0.02
schwindrisse in beschichtung;18;schwindrisse in beschichtung (18);0.05
hrung mit;14;hrung mit (14);0.04
kleine bindstellen;10;kleine bindstellen (10);0.03
mehrere kleine bindstellen;9;mehrere kleine bindstellen (9);0.03
mehrere gel binddr;14;mehrere gel binddr (7) | mehrere gel binddr hte (7);0.04
mehrere gel binddr hte und;7;mehrere gel binddr hte und (7);0.02
wasser deckel;7;wasser deckel (7);0.02
wasser deckel nicht;7;wasser deckel nicht (7);0.02
deckel nicht dicht;8;deckel nicht dicht (8);0.02
wasser deckel nicht dicht;7;wasser deckel nicht dicht (7);0.02
gel und binddr hte;11;gel und binddr hte (11);0.03
befund geh rt;34;befund geh rt (17) | befund geh rt zu (17);0.1
rostflecken teils mit;7;rostflecken teils mit (7);0.02
falsch montiert;7;falsch montiert (7);0.02
lors de inspection;8;lors de inspection (8);0.02
mesurable estim;26;mesurable estim (9) | non mesurable estim (9) | mesurable estim 5mm (8);0.08
estim 5mm;8;estim 5mm (8);0.02
max non mesurable estim;17;max non mesurable estim (9) | max non mesurable estim 5mm (8);0.05
non mesurable estim 5mm;8;non mesurable estim 5mm (8);0.02
hauteur ouverture;25;hauteur ouverture (9) | la hauteur ouverture (9) | hauteur ouverture max (7);0.07
spr hnebel;7;spr hnebel (7);0.02
bis 300 cm2 infolge;7;bis 300 cm2 infolge (7);0.02
mit lokalen;10;mit lokalen (10);0.03
lokalen korrosionserscheinungen;18;lokalen korrosionserscheinungen (9) | mit lokalen korrosionserscheinungen (9);0.05
abgewittert mit lokalen;16;abgewittert mit lokalen (9) | ist abgewittert mit lokalen (7);0.05
schneer umung;8;schneer umung (8);0.02
fehlende abdichtung;8;fehlende abdichtung (8);0.02
kalkausscheidungen rissbreite bis;7;kalkausscheidungen rissbreite bis (7);0.02
rissbreite bis mm rissl nge;11;rissbreite bis mm rissl nge (11);0.03
lors de la;7;lors de la (7);0.02
lokale kalkausscheidungen;12;lokale kalkausscheidungen (12);0.04
der maueroberfl;29;der maueroberfl (11) | auf der maueroberfl (7) | der maueroberfl che (11);0.09
maueroberfl che;24;maueroberfl che (24);0.07
auf der maueroberfl che;7;auf der maueroberfl che (7);0.02
sserungs ffnungen;15;sserungs ffnungen (15);0.04
entw sserungs ffnungen;15;entw sserungs ffnungen (15);0.04
ganzen mauer;22;ganzen mauer (11) | der ganzen mauer (11);0.07
im oberen bereich;20;im oberen bereich (20);0.06
oberen bereich der;12;oberen bereich der (12);0.04
bereich der mauer;9;bereich der mauer (9);0.03
ganzen oberfl;24;ganzen oberfl (8) | der ganzen oberfl (8) | ganzen oberfl che (8);0.07
der ganzen oberfl che;15;der ganzen oberfl che (8) | auf der ganzen oberfl che (7);0.04
auf der seite brig;7;auf der seite brig (7);0.02
teils stark korrodiert;7;teils stark korrodiert (7);0.02
verschiebung betr gt;9;verschiebung betr gt (9);0.03
lose oder gerissene;8;lose oder gerissene (8);0.02
mehreren stellen der mauer;21;mehreren stellen der mauer (11) | an mehreren stellen der mauer (10);0.06
fugenprofil fehlt;11;fugenprofil fehlt (11);0.03
schwindrisse teils fr hschwindrisse;9;schwindrisse teils fr hschwindrisse (9);0.03
lokale rostflecken;8;lokale rostflecken (8);0.02
teils mit kalkaussinterungen aus bauzeit;8;teils mit kalkaussinterungen aus bauzeit (8);0.02
gr npflege;10;gr npflege (10);0.03
und spachtelung;8;und spachtelung (8);0.02
beschichtung und spachtelung;16;beschichtung und spachtelung (8) | der beschichtung und spachtelung (8);0.05
sung der beschichtung und spachtelung;8;sung der beschichtung und spachtelung (8);0.02
ponctuellement sup rieures;8;ponctuellement sup rieures (8);0.02
unzureichend angezogen;17;unzureichend angezogen (10) | unzureichend angezogenen (7);0.05
ndiger beton;12;ndiger beton (12);0.04
best ndiger beton;24;best ndiger beton (12) | ft best ndiger beton (12);0.07
nicht ft best ndiger beton;12;nicht ft best ndiger beton (12);0.04
vacuation des;7;vacuation des (7);0.02
vacuation des eaux;7;vacuation des eaux (7);0.02
von fr her undichtem;10;von fr her undichtem (10);0.03
einzelne kleine teils;7;einzelne kleine teils (7);0.02
digungen der;10;digungen der (10);0.03
besch digungen der;10;besch digungen der (10);0.03
digungen der beschichtung;8;digungen der beschichtung (8);0.02
mechanische besch digungen der;8;mechanische besch digungen der (8);0.02
besch digungen der beschichtung;8;besch digungen der beschichtung (8);0.02
mechanische besch digungen der beschichtung;7;mechanische besch digungen der beschichtung (7);0.02
identifi pas;20;identifi pas (10) | identifi pas de (10);0.06
de trame identifi pas;18;de trame identifi pas (9) | de trame identifi pas de (9);0.05
trame identifi pas de;9;trame identifi pas de (9);0.03
identifi pas de traces;9;identifi pas de traces (9);0.03
trame identifi pas de traces;8;trame identifi pas de traces (8);0.02
identifi pas de traces infiltrations;9;identifi pas de traces infiltrations (9);0.03
la hauteur ouverture max;7;la hauteur ouverture max (7);0.02
netzartige aar rissbildung;9;netzartige aar rissbildung (9);0.03
abstandhalter teils;26;abstandhalter teils (10) | und abstandhalter teils (9) | abstandhalter teils mit (7);0.08
hte und abstandhalter teils;16;hte und abstandhalter teils (9) | hte und abstandhalter teils mit (7);0.05
pr sence;9;pr sence (9);0.03
und abgel ste;8;und abgel ste (8);0.02
hohlliegende stellen;7;hohlliegende stellen (7);0.02
ouverture jusqu;7;ouverture jusqu (7);0.02
der spritzbetonwand;7;der spritzbetonwand (7);0.02
an fast;9;an fast (9);0.03
fast allen;18;fast allen (9) | an fast allen (9);0.05
allen fundamentsockeln;9;allen fundamentsockeln (9);0.03
fundamentsockeln rissbreite;24;fundamentsockeln rissbreite (8) | allen fundamentsockeln rissbreite (8) | fundamentsockeln rissbreite bis (8);0.07
allen fundamentsockeln rissbreite bis;16;allen fundamentsockeln rissbreite bis (8) | allen fundamentsockeln rissbreite bis mm (8);0.05
fundamentsockeln rissbreite bis mm;8;fundamentsockeln rissbreite bis mm (8);0.02
depuis le;25;depuis le (7) | repris de (18);0.07
che mit ausbr;8;che mit ausbr (8);0.02
oberfl che mit ausbr chen;8;oberfl che mit ausbr chen (8);0.02
rtelkeil und os;7;rtelkeil und os (7);0.02
vertikal verlaufende;9;vertikal verlaufende (9);0.03
he ab ok;7;he ab ok (7);0.02
undichte fugen teils;21;undichte fugen teils (12) | undichte fugen teils mit (9);0.06
verzinkung ist abgewittert mit lokalen;7;verzinkung ist abgewittert mit lokalen (7);0.02
ist abgewittert mit lokalen korrosionserscheinungen;7;ist abgewittert mit lokalen korrosionserscheinungen (7);0.02
betrifft fm;11;betrifft fm (11);0.03
diverse lokale;7;diverse lokale (7);0.02
ber mehrere meter;10;ber mehrere meter (10);0.03
her undichtem fahrbahn;20;her undichtem fahrbahn (10) | fr her undichtem fahrbahn (10);0.06
her undichtem fahrbahn bergang;20;her undichtem fahrbahn bergang (10) | fr her undichtem fahrbahn bergang (10);0.06
infolge fr her undichtem fahrbahn;7;infolge fr her undichtem fahrbahn (7);0.02
fl chenhafte;15;fl chenhafte (15);0.04
schwindrisse rissbreite;14;schwindrisse rissbreite (7) | schwindrisse rissbreite bis (7);0.04
schwindrisse rissbreite bis ca;14;schwindrisse rissbreite bis ca (7) | schwindrisse rissbreite bis ca mm (7);0.04
infolge bewehrungskorrosion;18;infolge bewehrungskorrosion (18);0.05
abplatzungen infolge bewehrungskorrosion;13;abplatzungen infolge bewehrungskorrosion (13);0.04
diversen stellen;36;diversen stellen (19) | an diversen stellen (17);0.11
meist bei;7;meist bei (7);0.02
st sich ab;10;st sich ab (10);0.03
por ser beton;14;por ser beton (14);0.04
und abstandhalter teils mit;7;und abstandhalter teils mit (7);0.02
abstandhalter teils mit kleinen;14;abstandhalter teils mit kleinen (7) | und abstandhalter teils mit kleinen (7);0.04
mehrere kleine gel binddr hte;9;mehrere kleine gel binddr hte (9);0.03
abstandhalter teils mit kleinen abplatzungen;7;abstandhalter teils mit kleinen abplatzungen (7);0.02
auf der ganzen oberfl;7;auf der ganzen oberfl (7);0.02
sserungsrohre teils mit rostflecken;7;sserungsrohre teils mit rostflecken (7);0.02
belagsentw sserungsrohre teils mit rostflecken;7;belagsentw sserungsrohre teils mit rostflecken (7);0.02
infolge graffiti;7;infolge graffiti (7);0.02
einzelne verf llungen;16;einzelne verf llungen (8) | einzelne verf llungen von (8);0.05
einzelne verf llungen von gel;8;einzelne verf llungen von gel (8);0.02
teilweise nur;16;teilweise nur (9) | teilweise auch (7);0.05
abgeplatzt oder stark;9;abgeplatzt oder stark (9);0.03
keine trennung;7;keine trennung (7);0.02
ip 2023;36;ip 2023 (18) | de ip 2023 (18);0.11
repris de ip;18;repris de ip (18);0.05
repris de ip 2023;18;repris de ip 2023 (18);0.05
riss in arbeitsfuge;8;riss in arbeitsfuge (8);0.02
durchdr ckend;7;durchdr ckend (7);0.02
gr sse bis 200cm2;7;gr sse bis 200cm2 (7);0.02
verdrehung der;9;verdrehung der (9);0.03
he verlaufend;7;he verlaufend (7);0.02
zug nglich;8;zug nglich (8);0.02
entlang der ganzen;8;entlang der ganzen (8);0.02
mehrere querrisse auf der;7;mehrere querrisse auf der (7);0.02
mehrere querrisse auf der mauerkrone;7;mehrere querrisse auf der mauerkrone (7);0.02
bis auf ca;11;bis auf ca (11);0.03
infolge ungen gender beton;7;infolge ungen gender beton (7);0.02
infolge ungen gender beton berdeckung;7;infolge ungen gender beton berdeckung (7);0.02
der wandfl che;8;der wandfl che (8);0.02
netzartige risse infolge;16;netzartige risse infolge (8) | netzartige risse infolge aar (8);0.05
zwangsrisse auf der;9;zwangsrisse auf der (9);0.03
graffiti auf;28;graffiti auf (15) | graffiti auf der (13);0.08
mit material;15;mit material (7) | mit erdmaterial (8);0.04
bewuchs ber der mauerkrone;7;bewuchs ber der mauerkrone (7);0.02
gerissene und;14;gerissene und (14);0.04
ganzen maueroberfl;27;ganzen maueroberfl (9) | der ganzen maueroberfl (9) | ganzen maueroberfl che (9);0.08
der ganzen maueroberfl che;17;der ganzen maueroberfl che (9) | auf der ganzen maueroberfl che (8);0.05
pfosten krumm;7;pfosten krumm (7);0.02
bewehrungskorrosion teilweise;15;bewehrungskorrosion teilweise (8) | bewehrungskorrosion teilweise nur (7);0.04
algen staub;16;algen staub (16);0.05
und kleinere;7;und kleinere (7);0.02
bewuchs durch;7;bewuchs durch (7);0.02
viele stellen;9;viele stellen (9);0.03
deckschicht abgel;22;deckschicht abgel (11) | deckschicht abgel st (11);0.07
st teils mechanische;22;st teils mechanische (11) | st teils mechanische sch (11);0.07
teils mechanische sch;30;teils mechanische sch (15) | teils mechanische sch den (15);0.09
deckschicht abgel st teils;11;deckschicht abgel st teils (11);0.03
abgel st teils mechanische;22;abgel st teils mechanische (11) | abgel st teils mechanische sch (11);0.07
deckschicht abgel st teils mechanische;11;deckschicht abgel st teils mechanische (11);0.03
st teils mechanische sch den;11;st teils mechanische sch den (11);0.03
teils leicht korrodiert;7;teils leicht korrodiert (7);0.02
des fugenm rtels;7;des fugenm rtels (7);0.02
nicht abgeplatzt;8;nicht abgeplatzt (8);0.02
noch nicht abgeplatzt;8;noch nicht abgeplatzt (8);0.02
gewindestangen korrodiert;12;gewindestangen korrodiert (12);0.04
abgewitterte farbe;22;abgewitterte farbe (22);0.07
teils verschmutzt;15;teils verschmutzt (15);0.04
abgewitterte farbe teils;15;abgewitterte farbe teils (15);0.04
farbe teils verschmutzt;15;farbe teils verschmutzt (15);0.04
abgewitterte farbe teils verschmutzt;15;abgewitterte farbe teils verschmutzt (15);0.04
vertikale schwindrisse;7;vertikale schwindrisse (7);0.02
berwiegend trocken;7;berwiegend trocken (7);0.02
teils repariert;10;teils repariert (10);0.03
an flanken mit;7;an flanken mit (7);0.02
sung an flanken mit;14;sung an flanken mit (7) | abl sung an flanken mit (7);0.04
depuis la rive;7;depuis la rive (7);0.02
abplatzungen infolge korrosion;26;abplatzungen infolge korrosion (13) | abplatzungen infolge korrosion der (13);0.08
der westseite;7;der westseite (7);0.02
auf der ganzen mauer;7;auf der ganzen mauer (7);0.02
an den nden;8;an den nden (8);0.02
die dauerhaftigkeit;8;die dauerhaftigkeit (8);0.02
rtels ule;8;rtels ule (8);0.02
aufgrund der;10;aufgrund der (10);0.03
bewehrungsst be mit kleinen;15;bewehrungsst be mit kleinen (15);0.04
korrodierte bewehrungsst be mit kleinen;15;korrodierte bewehrungsst be mit kleinen (15);0.04
bewehrungsst be mit kleinen abplatzungen;15;bewehrungsst be mit kleinen abplatzungen (15);0.04
pas visible;7;pas visible (7);0.02
aucune photo des;10;aucune photo des (10);0.03
ces constatations;9;ces constatations (9);0.03
photo des ces;9;photo des ces (9);0.03
ces constatations disponibles;9;ces constatations disponibles (9);0.03
constatations disponibles car;9;constatations disponibles car (9);0.03
disponibles car ne;9;disponibles car ne (9);0.03
ne sont pas visibles;9;ne sont pas visibles (9);0.03
photo des ces constatations disponibles;9;photo des ces constatations disponibles (9);0.03
des ces constatations disponibles car;18;des ces constatations disponibles car (9) | ces constatations disponibles car ne (9);0.05
constatations disponibles car ne sont;9;constatations disponibles car ne sont (9);0.03
disponibles car ne sont pas;9;disponibles car ne sont pas (9);0.03
und vermoosung;21;und vermoosung (12) | und vermoosung auf (9);0.06
mauerkrone und vermoosung;14;mauerkrone und vermoosung (7) | der mauerkrone und vermoosung (7);0.04
vermoosung auf;18;vermoosung auf (9) | vermoosung auf der (9);0.05
und vermoosung auf der;9;und vermoosung auf der (9);0.03
vermoosung auf der ganzen;14;vermoosung auf der ganzen (7) | und vermoosung auf der ganzen (7);0.04
abplatzungen infolge korrosion der bewehrung;11;abplatzungen infolge korrosion der bewehrung (11);0.03
und mauerentw;12;und mauerentw (12);0.04
und mauerentw sserungen;12;und mauerentw sserungen (12);0.04
bei den rissen;7;bei den rissen (7);0.02
mauerfugen an mehreren;16;mauerfugen an mehreren (8) | den mauerfugen an mehreren (8);0.05
in den mauerfugen an;8;in den mauerfugen an (8);0.02
