Commentaire_Cluster;Commentaire_Count;Commentaire_PerMille;Description_Cluster;Description_Count;Description_PerMille
nan;21176;439.09;différences de niveau entre les différents profils métalliques;3;0.19
nan;21176;439.09;le joint de chaussée est encrassé avec le temps ceci est une déterioration classique du joint;4;0.25
nan;21176;439.09;disparition de la protection contre la corrosion le long des voies de roulement;4;0.25
nan;21176;439.09;dégâts provoqués par le chasse-neige en raison des différences de niveau entre les différents profils métalliques;4;0.25
nan;21176;439.09;ruptures et morceaux qui se détachent;1;0.06
nan;21176;439.09;les éclats ont pas été constatés en 2019 et ne sont toujours pas visibles en 2024 ils sont considérés comme réparés ici;1;0.06
nan;21176;439.09;les tâches de rouille ont pas été constatées en 2019 et ne sont toujours pas visibles en 2024 elles sont considérées comme réparées ici;3;0.19
nan;21176;439.09;le joint été réparé sur toute la hauteur et ne présente pas de défaut étanchéité le déplacement relatif reste présent malgré cette réparation;3;0.19
nan;21176;439.09;vereinzelt freiliegende korrodierte bewehrung infolge ungenügender bewehrungsüberdeckung;3;0.19
nan;21176;439.09;freiliegende korrodierte bewehrung aufgrund geringer bewehrungsüberdeckung;4;0.25
nan;21176;439.09;carottages rebouchés;3;0.19
nan;21176;439.09;freiliegende korrodierte bewehrung;3;0.19
nan;21176;439.09;les fissures sous le revêtement de surface ne sont plus visibles;4;0.25
nan;21176;439.09;suspicion de rag;3;0.19
nan;21176;439.09;réparation effectuée;3;0.19
nan;21176;439.09;risse und rostflecken infolge bewehrungskorrosion;3;0.19
nan;21176;439.09;deckbelag am anschluss verformt und aufgewölbt;3;0.19
nan;21176;439.09;lose mörtelfugen von ca 10 10 cm 40 20 cm;4;0.25
nan;21176;439.09;risse mit rissbreiten bis ca mm teilweise versintert;10;0.63
nan;21176;439.09;lose mörtelfugen;3;0.19
nan;21176;439.09;bewuchs von kleinen büschen und gräser;4;0.25
nan;21176;439.09;längsrisse mit rissbreiten bis ca mm;4;0.25
nan;21176;439.09;vereinzelte lokale aussinterungen;3;0.19
nan;21176;439.09;vereinzelte wassersinterungen;4;0.25
nan;21176;439.09;unterhalb loser mörtelfugen wassersinterungen;4;0.25
nan;21176;439.09;le béton de scellement de la plaque appuis est éclaté;4;0.25
nan;21176;439.09;ca 10 10 cm;3;0.19
nan;21176;439.09;eau de chaussée écoule sur la culée;3;0.19
nan;21176;439.09;aufgrund verschwindender os;3;0.19
nan;21176;439.09;fissure dans le revêtement;3;0.19
nan;21176;439.09;déplacement constaté;4;0.25
nan;21176;439.09;dispositif de retenue remplacé;3;0.19
nan;21176;439.09;parties métalliques corrodées;13;0.82
nan;21176;439.09;important;4;0.25
nan;21176;439.09;sichbare bewehung mit fortschreitender bewehrungskorrosion;8;0.51
nan;21176;439.09;cette constatation pas été relevée;2;0.13
nan;21176;439.09;anzeichen von aar im frühen stadium risse bis mm;3;0.19
nan;21176;439.09;non constatée lors de la précédente inspection supprimer;15;0.95
nan;21176;439.09;supprimer non constaté déjà lors de la précédente inspection;12;0.76
nan;21176;439.09;usure avancée du béton granulats apparents sur toute la surface;3;0.19
nan;21176;439.09;fissuration dû la rag fissures supérieures mm;3;0.19
nan;21176;439.09;netzrisse mit starken aussinterungen;1;0.06
nan;21176;439.09;mauvaise étanchéité du coffrage;3;0.19
nan;21176;439.09;abplatzung mit freilegender bewehrung aufgrund korrosion und ungenügender bewehrungsüberdeckung;4;0.25
nan;21176;439.09;cette constatation est maintenant comprise dans oi g3026;5;0.32
stk bis 300 cm2 mit korrodierter bewehrung;1405;29.13;nan;1405;1000.0
moos algen;11;0.23;nan;11;1000.0
stark verwitterte oberfläche mit kornausbrüchen;321;6.66;nan;321;1000.0
leicht verwitterte oberfläche;81;1.68;nan;81;1000.0
schwindrisse mit kalkaussinterung;392;8.13;nan;392;1000.0
mehrere schwindrisse teils mit kalkaussinterung;343;7.11;nan;343;1000.0
verwitterte oberfläche;203;4.21;nan;203;1000.0
ablösung der beschichtung;155;3.21;nan;155;1000.0
einzelne kleine;118;2.45;nan;118;1000.0
stk klein;132;2.74;nan;132;1000.0
cette constatation peut être supprimé;26;0.54;cette constatation pas été relevée;14;1000.0
sträucher;77;1.6;nan;77;1000.0
stk korrodierter bewehrungsstab;163;3.38;nan;163;1000.0
leichte;280;5.81;nan;280;1000.0
stk schwindrisse;530;10.99;nan;530;1000.0
ablösung der flanken keine belagsfuge vorhanden;46;0.95;nan;46;1000.0
aar beginnend evtl frühschwindrisse;268;5.56;nan;268;1000.0
mit abplatzungen;15;0.31;nan;15;1000.0
stehendes wasser;5;0.1;nan;5;1000.0
hohlliegender belag;110;2.28;nan;110;1000.0
mehrere stellen;6;0.12;nan;6;1000.0
geländerhöhe 93 cm;11;0.23;nan;11;1000.0
suspicion de rag;41;0.85;nan;26;928.57
suspicion de rag;41;0.85;ouverture inférieure ou égale 3mm;1;35.71
suspicion de rag;41;0.85;fissures inférieures mm;1;35.71
stk schwindriss mit kalksinterungen;25;0.52;nan;25;1000.0
moos gras;20;0.41;nan;20;1000.0
mehrere frühschwindrisse;400;8.29;nan;400;1000.0
stk bis 75 cm2;422;8.75;nan;422;1000.0
undichte fuge;167;3.46;nan;167;1000.0
stk bis 100 cm2 mechanische beschädigung;253;5.25;nan;253;1000.0
mit kalkaussinterungen;144;2.99;nan;144;1000.0
stk bis 100 cm2 zwängung;71;1.47;nan;71;1000.0
absandung der betonoberfläche;7;0.15;nan;7;1000.0
je stk diagonalriss;19;0.39;nan;19;1000.0
anzahl stk;6;0.12;nan;6;1000.0
ablösung der flanken;226;4.69;nan;226;1000.0
einzelne schwindrisse;137;2.84;nan;137;1000.0
teils vergossen;45;0.93;nan;45;1000.0
einzelne;54;1.12;nan;53;1000.0
ablösung der beschichtung spachtel;11;0.23;nan;11;1000.0
zahlreiche kleine;31;0.64;nan;31;1000.0
ablösung der flanken fibrescreedkeil;4;0.08;nan;4;1000.0
zahlreiche schwindrisse;79;1.64;nan;79;1000.0
beginnende alkali aggregat reaktion;6;0.12;nan;6;1000.0
unterläufige elemente;5;0.1;nan;5;1000.0
zahlreiche mit kalkaussinterung;8;0.17;nan;8;1000.0
mehrere;300;6.22;nan;300;1000.0
beton nicht ft-beständig;4;0.08;nan;4;1000.0
grossflächig hohlliegend;7;0.15;nan;7;1000.0
schwindrisse oder aar beginnend;132;2.74;nan;132;1000.0
zahlreiche;60;1.24;nan;60;1000.0
aar beginnend;99;2.05;nan;99;1000.0
grosse menge an fremdwasser probleme in uplans wenn umbau zu ps und saba;11;0.23;nan;11;1000.0
grossflächig;53;1.1;nan;53;1000.0
von undichtem fbü;13;0.27;nan;13;1000.0
leicht korrodiert;69;1.43;nan;69;1000.0
mehrere stellen schadhafter korrosionsschutz;3;0.06;nan;3;1000.0
stk abplatzung bis 100 cm2 mit korrodierter bewehrung;11;0.23;nan;11;1000.0
mehrere mit betonabplatzungen;9;0.19;nan;9;1000.0
mehrere kleine;324;6.72;nan;324;1000.0
mit kornausbrüchen;50;1.04;nan;50;1000.0
mehrere mit abplatzungen bis 100 cm2;8;0.17;nan;8;1000.0
abgeplatzte verfüllung von geländerpfosten;3;0.06;nan;3;1000.0
mehrere diagonalrisse teils mit kalkaussinterungen;3;0.06;nan;3;1000.0
mehrere schwindrisse bis mm;10;0.21;nan;10;1000.0
moosbewuchs;57;1.18;nan;57;1000.0
korrodiert;54;1.12;nan;54;1000.0
schadhafter korrosionsschutz;198;4.11;nan;198;1000.0
je stk horizontalriss;31;0.64;nan;31;1000.0
mehrere grossflächig;8;0.17;nan;8;1000.0
horizontalriss;5;0.1;nan;5;1000.0
undichte bindstelle;65;1.35;nan;65;1000.0
stk länge alt;3;0.06;nan;3;1000.0
verschmutzung;3;0.06;nan;3;1000.0
mehrere mit kalkaussinterungen;51;1.06;nan;51;1000.0
zusammengefasst;10;0.21;nan;10;1000.0
mehrere bis 2000cm2 mit korrodierter bewehrung;143;2.97;nan;143;1000.0
undichte arbeitsfugen;24;0.5;nan;24;1000.0
mehrere undichte bindstelle;7;0.15;nan;7;1000.0
mehrere teils vergossen;33;0.68;nan;33;1000.0
mehrere grosse;3;0.06;nan;3;1000.0
korrosionsschutz abgefahren;7;0.15;nan;7;1000.0
viele teils grosse lunkern infolge ft-beton und negativ geneigter fläche;3;0.06;nan;3;1000.0
mit rostflecken;37;0.77;nan;37;1000.0
zahlreiche bis 100 cm2 mit korrodierter bewehrung;17;0.35;nan;17;1000.0
stk schwindrisse bis mm;46;0.95;nan;46;1000.0
schwindrisse teils mit kalkaussinterungen;102;2.11;nan;102;1000.0
hohlliegender belag mit rissen;3;0.06;nan;3;1000.0
lagerplatz leichte betonschäden;3;0.06;nan;3;1000.0
herkunft;7;0.15;nan;7;1000.0
alte nassstelle jetzt trocken;110;2.28;nan;110;1000.0
fugenprofil wird spröde von verwitterung teilweise undicht;4;0.08;nan;4;1000.0
stk schwindrisse bis mm teils mit kalkaussinterungen;25;0.52;nan;25;1000.0
stk bis 1000 cm2 infolge holzeinlage;16;0.33;nan;16;1000.0
stk bis 400 cm2 mit korrodierter bewehrung mechanische beschädigung;7;0.15;nan;7;1000.0
evtl mechanische beschädigung;35;0.73;nan;35;1000.0
schrauben korrodiert;3;0.06;nan;3;1000.0
gewollt;12;0.25;nan;12;1000.0
neuer belag;10;0.21;nan;10;1000.0
bis ca 1cm;74;1.53;nan;74;1000.0
gerissenes dehnprofil;4;0.08;nan;4;1000.0
ablösung der flanken teils mit bewuchs;36;0.75;nan;36;1000.0
fissures de rag jusqu mm;6;0.12;nan;6;1000.0
vereinzelt;3;0.06;nan;3;1000.0
mehrere korrodierte bewehrungsstäbe mit abplatzungen bis 100 cm2;7;0.15;nan;7;1000.0
verwitterte oberfläche teils mit kornausbrüchen;59;1.22;nan;59;1000.0
teils mit kalkaussinterungen;20;0.41;nan;20;1000.0
je stk;21;0.44;nan;21;1000.0
ablösung der flanken keine belagsfuge vorhanden teils mit bewuchs;59;1.22;nan;59;1000.0
mehrere kleine stellen;12;0.25;nan;12;1000.0
moos gras und sträucher;3;0.06;nan;3;1000.0
